번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1,인공지능과 흙,김동훈 지음,민음사,2021,9.78894E+12,,,,,1,0,2021-03-19
2,가짜 행복 권하는 사회,김태형 지음,갈매나무,2021,9.79119E+12,,,,,1,0,2021-03-19
3,나도 한 문장 잘 쓰면 바랄 게 없겠네,김선영 지음,블랙피쉬,2021,9.78897E+12,,,,,1,0,2021-03-19
4,예루살렘 해변,"이도 게펜 지음, 임재희 옮김",문학세계사,2021,9.78897E+12,,,,,1,0,2021-03-19
5,김성곤의 중국한시기행 : 장강·황하 편,김성곤 지음,김영사,2021,9.78893E+12,,,,,1,0,2021-03-19
6,처음 읽는 음식의 세계사,"미야자키 마사카츠 지음, 한세희 옮김",탐나는책,2021,9.79119E+12,,,,,1,0,2021-03-19
7,아르센 벵거 자서전 My Life in Red and White,"아르센 벵거 지음, 이성모 옮김",한즈미디어(한스미디어),2021,9.79116E+12,,,,,1,0,2021-03-19
8,쓰고 달콤한 직업,천운영 지음,마음산책,2021,9.78896E+12,,,,,1,0,2021-03-19
9,일잘러의 노션 100% 활용법,제레미 강 지음,위키북스,2021,9.79116E+12,,,,,1,0,2021-03-19
10,타이난 골목 노포 산책,"천구이팡 지음, 심혜경 외 옮김",페이퍼스토리,2021,9.789E+12,,,,,1,0,2021-03-19
11,이디스 워튼의 환상 이야기,"이디스 워튼 지음, 성소희 옮김",레인보우퍼블릭북스,2021,9.79119E+12,,,,,1,0,2021-03-19
12,질서 너머,"조던 B. 피터슨 지음, 김한영 옮김",웅진지식하우스,2021,9.7889E+12,,,,,1,0,2021-03-19
13,성장을 꿈꾸는 너에게,"우쥔 지음, 이지수 옮김",오월구일,2021,9.7912E+12,,,,,1,0,2021-03-19
14,스티븐 호킹,"레너드 믈로디노프 지음, 하인해 옮김",까치,2021,9.78897E+12,,,,,1,0,2021-03-19
15,벌의 사생활,"소어 핸슨 지음, 하윤숙 옮김",에이도스,2021,9.79119E+12,,,,,1,0,2021-03-19
16,지브리의 천재들,"스즈키 도시오 지음, 이선희 옮김",포레스트북스,2021,9.79119E+12,,,,,1,0,2021-03-19
